Class_Type,Values,Name,INTPTLAT,INTPTLON,STATENS,GEOID,AWATER,STUSPS
Class_81,25147,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_71,80,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_82,14147,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_41,58182,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_42,393,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_21,648,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_43,4355,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_11,2262,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_22,1080,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_23,446,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_24,0,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
Class_90,2438,Tennessee,35.860803,86.3499896,1325873,47,2350123465,TN
